Title,Release Year,Genre 1,Genre 2,Actor,IMDB Rating
The Martian,2015,science fiction,drama,Matt Damon,8
Good Will Hunting,1997,drama,indie,Matt Damon,8.3
Mad Max: Fury Road,2015,fantasy,drama,Charlize Theron,8.1
Bridge of Spies,2015,thriller,drama,Tom Hanks,7.6
La La Land,2016,romance,drama,Emma Stone,8.1
Sully,2016,drama,biography,Tom Hanks,7.5
Dunkirk,2017,thriller,drama,Harry Styles,8.2
Thor: Ragnarok,2017,fantasy,comedy,Chris Hemsworth,8.1
The Fate of the Furious,2017,crime,thriller,Vin Diesel,6.8
Forrest Gump,1994,comedy,drama,Tom Hanks,8.8
